time 	curr	srvc	payld	bdw	NoC	InPort	target_router
10517	0	19	2	2	2	L	8192
10515	256	29	4	4	2	W	256
10529	0	31	2	2	1	L	0
10535	0	2	2	2	1	L	0
10537	256	31	2	2	1	L	0
10539	0	31	2	2	1	E	0
10543	256	2	2	2	1	L	0
10545	0	2	2	2	1	E	0
10652	0	24	8	60	3	W	0
10721	0	29	2	2	2	L	0
10725	0	19	2	2	2	L	8192
10728	0	19	2	2	2	L	8192
10731	0	19	2	2	2	L	8192
10855	0	24	8	63	3	W	0
10927	0	29	2	2	2	L	256
10929	256	29	2	2	2	W	256
10935	0	24	8	63	3	W	0
11007	0	29	4	4	2	L	0
11012	0	29	4	4	2	L	256
11015	256	29	4	4	2	W	256
11030	0	31	2	2	1	L	0
11034	0	2	2	2	1	L	0
11038	256	31	2	2	1	L	0
11040	0	31	2	2	1	E	0
11042	256	2	2	2	1	L	0
11044	0	2	2	2	1	E	0
11015	0	24	8	63	3	W	0
11087	0	29	2	2	2	L	0
11091	0	19	2	2	2	L	8192
11094	0	19	2	2	2	L	8192
11097	0	19	2	2	2	L	8192
11103	0	2	2	2	1	L	0
11230	0	24	8	63	3	W	0
11302	0	29	2	2	2	L	256
11304	256	29	2	2	2	W	256
11320	256	2	2	2	1	L	0
11322	0	2	2	2	1	E	0
11310	0	24	8	63	3	W	0
11382	0	29	4	4	2	L	0
11387	0	29	4	4	2	L	256
11390	256	29	4	4	2	W	256
11404	0	31	2	2	1	L	0
11412	256	31	2	2	1	L	0
11414	0	31	2	2	1	E	0
11390	0	24	8	63	3	W	0
11462	0	29	2	2	2	L	0
11466	0	19	2	2	2	L	8192
11469	0	29	2	2	2	L	0
11472	0	29	2	2	2	L	256
11475	0	19	2	2	2	L	8192
11476	256	29	2	2	2	W	256
11484	0	2	2	2	1	L	0
11488	0	2	2	2	1	L	0
11498	256	2	2	2	1	L	0
11500	0	2	2	2	1	E	0
11595	0	24	8	63	3	W	0
11667	0	29	2	2	2	L	256
11669	256	29	2	2	2	W	256
11685	256	2	2	2	1	L	0
11687	0	2	2	2	1	E	0
11676	0	24	8	62	3	W	0
11747	0	29	4	4	2	L	0
11752	0	29	4	4	2	L	256
11757	0	29	2	2	2	L	0
11755	256	29	4	4	2	W	256
11760	0	29	2	2	2	L	0
11763	0	29	2	2	2	L	256
11766	0	29	2	2	2	L	256
11769	256	29	2	2	2	W	256
11773	256	29	2	2	2	W	256
11780	0	31	2	2	1	L	0
11783	0	2	2	2	1	L	0
11783	256	31	2	2	1	L	0
11785	0	31	2	2	1	E	0
11786	0	2	2	2	1	L	0
11790	0	29	4	4	2	L	0
11792	256	2	2	2	1	L	0
11794	0	2	2	2	1	E	0
11795	0	29	2	2	2	L	0
11795	256	2	2	2	1	L	0
11798	0	2	2	2	1	E	0
11798	0	29	4	4	2	L	256
11803	0	29	2	2	2	L	0
11802	256	29	4	4	2	W	256
11806	0	29	2	2	2	L	256
11809	0	29	2	2	2	L	256
11812	256	29	2	2	2	W	256
11814	0	2	2	2	1	L	0
11816	256	29	2	2	2	W	256
11822	0	2	2	2	1	L	0
11824	0	29	2	2	2	L	0
11830	256	2	2	2	1	L	0
11832	0	2	2	2	1	E	0
11832	0	19	2	2	2	L	8192
11835	256	2	2	2	1	L	0
11837	0	2	2	2	1	E	0
11842	0	29	2	2	2	L	256
11844	256	29	2	2	2	W	256
11846	0	31	2	2	1	L	0
11853	0	2	2	2	1	L	0
11866	256	31	2	2	1	L	0
11868	0	31	2	2	1	E	0
11873	256	2	2	2	1	L	0
11875	0	2	2	2	1	E	0
11970	0	24	8	63	3	W	0
12042	0	29	2	2	2	L	0
12046	0	19	2	2	2	L	8192
12049	0	19	2	2	2	L	8192
12064	0	2	2	2	1	L	0
12176	0	24	8	63	3	W	0
12248	0	29	2	2	2	L	256
12250	256	29	2	2	2	W	256
12252	0	29	2	2	2	L	0
12272	256	2	2	2	1	L	0
12274	0	2	2	2	1	L	0
12274	0	2	2	2	1	E	0
12256	0	24	8	63	3	W	0
12328	0	29	2	2	2	L	0
12332	0	16	2	2	2	L	0
12335	0	29	2	2	2	L	256
12338	0	29	2	2	2	L	0
12338	256	29	2	2	2	W	256
12341	0	29	2	2	2	L	256
12345	0	29	2	2	2	L	0
12346	256	29	2	2	2	W	256
12350	0	31	2	2	1	L	0
12356	0	29	2	2	2	L	256
12358	256	29	2	2	2	W	256
12360	0	2	2	2	1	L	0
12360	0	19	2	2	2	L	8192
12360	256	2	2	2	1	L	0
12362	0	2	2	2	1	E	0
12363	256	2	2	2	1	L	0
12366	0	2	2	2	1	E	0
12370	0	19	2	2	2	L	8192
12373	0	29	2	2	2	L	256
12376	256	29	2	2	2	W	256
12380	256	31	2	2	1	L	0
12382	0	31	2	2	1	E	0
12490	0	24	8	63	3	W	0
12562	0	29	4	4	2	L	0
12580	0	31	2	2	1	L	0
12583	0	31	2	2	1	L	0
12570	0	24	8	63	3	W	0
12642	0	29	2	2	2	L	0
12646	0	19	2	2	2	L	8192
12649	0	29	4	4	2	L	256
12652	256	29	4	4	2	W	256
12654	0	29	4	4	2	L	0
12659	0	19	2	2	2	L	8192
12670	256	31	2	2	1	L	0
12672	0	31	2	2	1	E	0
12673	256	31	2	2	1	L	0
12676	0	31	2	2	1	E	0
12682	0	29	4	4	2	L	256
12684	256	29	4	4	2	W	256
12776	0	24	8	63	3	W	0
12848	0	29	2	2	2	L	256
12850	256	29	2	2	2	W	256
12856	0	24	8	63	3	W	0
12928	0	29	2	2	2	L	0
12932	0	19	2	2	2	L	8192
12951	0	2	2	2	1	L	0
12954	0	31	2	2	1	L	0
12961	0	19	2	2	2	L	8192
12965	0	19	2	2	2	L	8192
13070	0	24	8	63	3	W	0
13142	0	29	2	2	2	L	256
13144	256	29	2	2	2	W	256
13167	256	2	2	2	1	L	0
13169	0	2	2	2	1	E	0
13170	256	31	2	2	1	L	0
13173	0	31	2	2	1	E	0
13150	0	24	8	63	3	W	0
